RowName,key,English,Chinese,Japanese,Hindi,Arabic,French,Spanish,Russian
68,,JUNE,六月,六月,???,?????,JUIN,JUNIO,ИЮНЬ
69,,JULY,七月,7月,?????,?????,JUILLET,JULIO,ИЮЛЬ
70,,AUGUST,八月,8月,?????,?????,AO?T,AGOSTO,АВГУСТ
71,,SEPTEMBER,九月,9月,???????,??????,SEPTEMBRE,SEPTIEMBRE,СЕНТЯБРЬ
72,,OCTOBER,十月,10月,???????,??????,OCTOBRE,OCTUBRE,ОКТЯБРЬ
73,,NOVEMBER,十一月,11月,?????,??? ??????,NOVEMBRE,NOVIEMBRE,НОЯБРЬ
74,,DECEMBER,十二月,12月,??????,??????,DéCEMBRE,DICIEMBRE,ДЕКАБРЬ
75,,NEW RECORD,新的最佳得分,新記録,??? ???????,??? ????? ????,NOUVEL ENREGISTREMENT,NUEVO RECORD,НОВАЯ ЗАПИСЬ
76,,CONTINUE,继续,続く,???? ????,????,CONTINUER,CONTINUAR,ПРОДОЛЖАТЬ
77,,COMPLETED,已完成,完了しました,???? ????,?????,COMPLéTé,TERMINADO,ЗАВЕРШЕННЫЙ
78,,New Game?,再玩一局？,新しいゲーム？,??? ????,???? ??????,Nouveau jeu?,?Nuevo juego?,Новая игра?
79,,No Useable Move,无可用移动,使える技が無い,??? ?????? ???? ????? ??? ????,?? ???? ???? ????? ?????????,Aucun mouvement utilisable,Ningún movimiento utilizable,Нет полезного движения
80,,Return,返回,戻る,???? ????,????,Retour,Devolver,Возвращаться
81,,Have you ever played Solitaire before?,您以前玩过纸牌游戏吗,これまでにソリティアをプレイしたことがありますか?,???? ???? ???? ??? ???????? ???? ???,?? ??? ?? ?? ???? ??????? ?? ????,Avez-vous déjà joué au Solitaire auparavant ?,?Alguna vez has jugado al Solitario?,Вы когда-нибудь раньше играли в пасьянс?
82,,Yes,是,はい,???,???,Oui,Sí,Да
83,,No,否,いいえ,????,??,Non,No,Нет
84,,Skip,跳过,スキップ,?????,?????,Sauter,Saltar,Пропускать
85,,LAYOUT,布局,レイアウト,?????,???????,MISE EN PAGE,DISPOSICIóN,МАКЕТ
86,HoWToPlay1,"A complete Solitaire game starts with seven piles of cards, each pile contains one more card than the previous, with only the top card facing up.",一个完整的接龙游戏开始时有七堆牌，每堆牌都比前一堆牌多一张，只有最上面的牌是朝上的。,完全なソリティア ゲームは 7 枚の山から始まり、各山には前よりも 1 枚多くのカードが含まれており、一番上のカードだけが表になっています。,"?? ??????? ???????? ??? ??? ?? ??? ????? ?? ??? ???? ???? ??, ???????? ??? ??? ????? ?? ????? ??? ?? ???? ????? ???? ??, ???? ????? ????? ??? ?? ?? ???? ???",???? ???? ??????? ??????? ????? ????? ?? ????????? ????? ?? ???? ??? ????? ????? ???? ?? ???????? ?? ?????? ??????? ??????? ??? ??????.,"Un jeu de Solitaire complet commence avec sept piles de cartes, chaque pile contient une carte de plus que la précédente, seule la carte du dessus étant visible.","Un juego de Solitario completo comienza con siete montones de cartas, cada montón contiene una carta más que el anterior, con solo la carta superior boca arriba.","Полный пасьянс начинается с семи стопок карт, каждая стопка содержит на одну карту больше, чем предыдущая, и только верхняя карта обращена вверх."
87,,GOAL,游戏目标,ゴール,??????,???,BUT,META,ЦЕЛЬ
88,HoWToPlay2,"The goal of the game is to get all cards onto the four foundation piles, sorted by suit in ascending order from Ace to King",游戏目标是把所有牌放到四个基础牌堆上，按花色从A到K的升序排序。,ゲームの目標は、エースからキングまでのスーツごとに昇順に並べ替えて、すべてのカードを 4 つの基礎の山に置くことです。,"??? ?? ?????? ??? ??????? ?? ??? ???????? ?????? ?? ???? ??, ?? ??? ?? ?????? ?? ?? ???? ?? ????? ???? ??? ???????? ????",????? ?? ?????? ?? ?????? ??? ???? ???????? ???????? ?? ??????? ???????? ???????? ????? ??? ????? ?????? ?????? ?? ???? ??? ?????,"Le but du jeu est de placer toutes les cartes sur les quatre piles de base, triées par couleur et par ordre croissant, de l'As au Roi.","El objetivo del juego es colocar todas las cartas en las cuatro pilas básicas, ordenadas por palo en orden ascendente, del As al Rey.","Цель игры — положить все карты в четыре стопки, отсортированные по масти в порядке возрастания от туза до короля."
89,,MOVE CARDS,移动纸牌,カードを移動する,????? ?? ????,??? ????????,DéPLACER DES CARTES,MOVER TARJETAS,ПЕРЕДВИГАТЬ КАРТЫ
90,HoWToPlay3,You can move a face up card onto another face up card if it is one value lower and the opposite color.,您可以将一张正面朝上的牌移动到另一张正面朝上的牌上，只要这张牌的颜色与另一张牌的颜色相反，且牌面小一个数。,表向きのカードの値が 1 つ低く、反対の色であれば、表向きのカードを別の表向きのカードの上に移動できます。,?? ?? ??? ?? ????? ?? ????? ??? ?? ????? ?? ?? ?? ???? ??? ??? ???? ??? ?? ??? ?? ?? ?? ???? ??? ?????? ???,????? ??? ????? ?????? ??? ????? ???? ?????? ??? ???? ?????? ??? ????? ????? ????? ?????.,Vous pouvez déplacer une carte face visible sur une autre carte face visible si elle a une valeur inférieure et une couleur opposée.,Puedes mover una carta boca arriba sobre otra carta boca arriba si tiene un valor inferior y es del color opuesto.,"Вы можете переместить открытую карту на другую открытую карту, если она на одно значение меньше и противоположного цвета."
91,,PLACE "K",放置“K”,プレイス「K」,????? "K",???? "?",LIEU "K",LUGAR "K",МЕСТО "К"
92,HoWToPlay4,"If there is an empty column (no cards), you can move a King there.",如果有一个空的列（即没有卡片），则可以将K移到那里。,空の列 (カードがない) がある場合は、そこにキングを移動できます。,"??? ??? ???? ???? ?? (??? ????? ???? ??), ?? ?? ???? ?? ???? ?? ??????????? ?? ???? ????",??? ??? ???? ???? ???? (???? ??????)? ????? ??? ????? ????.,"S'il y a une colonne vide (pas de cartes), vous pouvez y déplacer un roi.","Si hay una columna vacía (sin cartas), puedes mover un Rey allí.","Если есть пустой столбец (нет карт), туда можно переместить короля."
93,,THE DECK,翻阅你的牌组,デッキ,????? ?? ???? ???,??? ???????,LE PONT,LA CUBIERTA,ПАЛУБА
94,HoWToPlay5,"If you can't (or choose not to) move any of the face-up cards, you can go through your deck.",如果你不能（或选择不）移动任何一张面朝上的牌，你可以翻阅你的牌组。,表向きのカードを移動できない（または移動しないことを選択した）場合は、デッキを通過できます。,"??? ?? ???? ?? ???-?? ????? ?? ??????????? ???? ?? ???? (?? ???? ???? ????? ???), ?? ?? ???? ??? ?? ?????? ?? ?? ???? ????",??? ?? ????? (?? ????? ??? ?????? ????) ?? ????? ?? ?? ???????? ????????? ?????? ?????? ??? ???????.,"Si vous ne pouvez pas (ou choisissez de ne pas) déplacer aucune des cartes face visible, vous pouvez parcourir votre deck.","Si no puedes (o eliges no) mover ninguna de las cartas boca arriba, puedes revisar tu mazo.","Если вы не можете (или не хотите) переместить ни одну из открытых карт, вы можете просмотреть свою колоду."
95,,MOVE CARDS FROM THE DECK,从牌组中移牌,デッキからカードを移動する,??? ?? ????? ?????,???? ???????? ?? ????????,DéPLACER LES CARTES DU PONT,MOVER CARTAS DE LA BARAJA,ПЕРЕМЕЩЕНИЕ КАРТ ИЗ КОЛОДЫ
96,HoWToPlay6,"If you find a card that can be placed on the brand or desktop, you can choose to move it.",如果你找到可以放置在牌基或桌面上的牌，可以选择移动它。,ブランドまたはデスクトップに配置できるカードが見つかった場合は、それを移動することを選択できます。,"??? ???? ??? ??? ????? ????? ?? ???? ?????? ?? ???????? ?? ??? ?? ???? ??, ?? ?? ??? ??????????? ???? ??? ???? ????",??? ???? ????? ???? ????? ??? ??????? ???????? ?? ??? ??????? ?????? ?????? ?????.,"Si vous trouvez une carte pouvant être placée sur la marque ou sur le bureau, vous pouvez choisir de la déplacer.","Si encuentra una tarjeta que se puede colocar en la marca o en el escritorio, puede optar por moverla.","Если вы найдете карточку, которую можно разместить на бренде или на рабочем столе, вы можете переместить ее."
97,,REPEAT STEPS,重复步骤,手順を繰り返す,??? ???????,??? ???????,RéPéTER LES éTAPES,REPETIR PASOS,ПОВТОРИТЕ ШАГИ
98,HoWToPlay7,These steps must be repeated throughout the game until all four basic cards are completed or no card can be moved.,在整个游戏过程中都要重复这些步骤，直到完成所有四个基础牌堆或无法再移动任何牌为止。,4 枚の基本カードがすべて完成するか、カードを移動できなくなるまで、ゲーム全体でこれらの手順を繰り返す必要があります。,?? ????? ?? ???? ??? ?? ????? ?? ?? ??????? ???? ????? ?? ?? ?? ??? ??? ???????? ????? ???? ???? ?? ???? ?? ??? ????? ??????????? ???? ???? ?? ?????,??? ????? ??? ??????? ???? ?????? ??? ????? ???? ???????? ???????? ??????? ?? ?? ???? ????? ?? ?????.,Ces étapes doivent être répétées tout au long du jeu jusqu'à ce que les quatre cartes de base soient complétées ou qu'aucune carte ne puisse être déplacée.,Estos pasos deben repetirse durante todo el juego hasta que se completen las cuatro cartas básicas o no se pueda mover ninguna carta.,"Эти шаги необходимо повторять на протяжении всей игры до тех пор, пока не будут заполнены все четыре основные карты или пока ни одна карта не станет невозможной для перемещения."
99,HoWToPlay8,"If you can't (or choose not) to move any cards facing up, you can go through your deck.",如果你不能（或选择不）移动任何一张面朝上的牌，你可以翻阅你的牌组。,カードを表向きに移動できない（または移動しないことを選択した）場合は、デッキを通過できます。,"??? ?? ???? ?? ????? ?? ??? ?? ?? ???? ?? ?? ???? (?? ???? ??? ????), ?? ?? ???? ??? ?? ?????? ?? ?? ???? ????",??? ?? ????? (?? ????? ???) ??? ?? ?????? ????? ??????? ?????? ?????? ??? ???????.,"Si vous ne pouvez pas (ou choisissez de ne pas) déplacer des cartes face visible, vous pouvez parcourir votre deck.","Si no puedes (o eliges no) mover ninguna carta boca arriba, puedes revisar tu mazo.","Если вы не можете (или не хотите) переместить какие-либо карты лицевой стороной вверх, вы можете просмотреть свою колоду."
100,,MON,周一,月,??????,???,LUN,LUN,ПН
101,,TUES,周二,火曜日,????,????????,YOU ARE,MARTES,ВТОР
102,,WED,周三,結婚した,???,????,éPOUSER,CASARSE,ОБВЕНЧАЛИСЬ
103,,THUR,周四,木曜日,????,??????,JEU,JUEVES,ЧЕТ
104,,FRI,周五,金曜日,?????,??????,VEN,VIE,ПТ
105,,SAT,周六,土,????,???,ASSIS,SE SENTó,СИДЕЛ
106,,SUN,周日,太陽,????,???,SOLEIL,SOL,СОЛНЦЕ
107,,Task,任务,タスク,???,????,Tache,Tarea,Задача
108,,Achieve a win streak  of #1,游戏连胜#1次,連勝記録1位を達成,#1 ?? ??? ?? ??????? ????? ????,??? ????? ???????? ??? 1,Réalisez une séquence de victoires de #1,Lograr una racha de victorias del n.o 1,Достичь победной серии №1
109,,Put three "#1" to foundation continuously.,在任意牌局中，连续将3个“梅花”放至底牌,ファンデーションに「#1」を3つ続けて塗ります。,???????? ??? ?????? ??? "#1" ??????,??? ????? "#1" ??? ???? ?????? ???? ?????.,Mettez trois "#1" sur la fondation en continu.,Coloque tres "#1" en la base de forma continua.,Постоянно кладите три ?#1? на фундамент.
110,,Win #1 games in 150 moves.,在150步内赢得#1场比赛,150手以内にナンバー1のゲームに勝利する。,150 ????? ??? #1 ??? ??????,?? ?????????? ??? 1 ?? 150 ????.,Gagnez les parties n°1 en 150 coups.,Gana juegos número 1 en 150 movimientos.,Выиграйте игру №1 за 150 ходов.
111,,Heart,红桃,心臓,???,???,C?ur,Corazón,Сердце
112,,Spade,黑桃,スペード,?????,??????? ???????? ????????,Bêche,Pala,лопата
113,,Club,梅花,クラブ,????,??????,club,Club,Клуб
114,,Diamod,方片,ダイアモド,????,??????,Diamod,diamante,Диамод
115,,Auto Hints,自动提示,自動ヒント,??? ?????,??????? ???????,Conseils automatiques,Consejos automáticos,Авто подсказки
116,,CALIFORNIA,加利福利亚,カリフォルニア,????????????,??????????,CALIFORNIE,CALIFORNIA,КАЛИФОРНИЯ
117,,SAN FRANCISCO,三藩市,サンフランシスコ,??? ???????????,??? ?????????,SAN FRANCISCO,SAN FRANCISCO,САН-ФРАНЦИСКО
118,,YOSEMITE,优胜美地,ヨセミテ,Yosemite,???????,YOSéMITE,YOSEMITE,ЙОСЕМИТИ
119,,LOS ANGELES,洛杉矶,ロサンゼルス,??? ???????,??? ??????,LOS ANGELES,LOS ANGELES,ЛОС-АНДЖЕЛЕС
120,,SAN DIEGO,圣地亚哥,サンディエゴ,??? ?????,??? ?????,SAN DIEGO,SAN DIEGO,САН ДИЕГО
121,,SANTA CLARA,圣克拉拉,サンタクララ,????? ??????,????? ?????,PèRE CLARéE,SANTA CLARA,САНТА-КЛАРА
122,,SACRAMENTO,萨克拉门托,サクラメント,???????????,????????,SACRAMENTO,SACRAMENTO,САКРАМЕНТО
123,,STANFORD,斯坦福,スタンフォード,??????????,????????,STANFORD,STANFORD,СТЭНФОРД
124,,MONTEREY,蒙特雷,モントレー,???????,???????,MONTEREY,MONTEREY,МОНТЕРЕЙ
125,,BAKERSFIELD,贝克斯菲尔德,ベーカーズフィールド,???????????,?????????,BOULANGERIE,BAKERSFIELD,БЕЙКЕРСФИЛД
126,,My Collection,我的收藏,私のコレクション,???? ??????,???????,Ma collection,Mi colección,Моя коллекция
127,,Stamps,集邮,スタンプ,??????,????? ??????,Timbres,Sellos,Марки
128,notice_title1,We will not stop the game because of getting older. ??,我们不会因为变老而停止游戏。??,年齢を理由にゲームをやめるつもりはありません。 ??,?? ???? ????? ?? ???? ??? ???? ??? ??????.' ??,?? ????? ?? ????? ???? ?????? ?? ????. ??,Nous n’arrêterons pas le jeu à cause du vieillissement. ??,No pararemos el juego por hacernos mayores. ??,Мы не остановим игру из-за старения. ??
129,notice_content1,We get old because we stop the game.,我们变老是因为我们停止游戏。,ゲームをやめるから私たちは老けるのです。,?? ????? ?? ???? ??? ??????? ?? ??? ??? ?? ???? ????,??? ????? ????? ?????? ??????.,On vieillit parce qu’on arrête le jeu.,Nos hacemos viejos porque paramos el juego.,"Мы стареем, потому что прекращаем игру."
130,notice_title2,Hello! Linda is here ??,你好！琳达在这里??,こんにちは！ リンダが来ました??,??????! ????? ???? ?? ??,??????! ????? ??? ??,Bonjour! Linda est là ??,?Hola! Linda está aquí ??,Привет! Линда здесь ??
131,notice_content2,"As a retirement, this is my favorite grinding thinking game ??",作为一名退休人员，这是我最喜欢的磨砺思维游戏??,引退作として、これは私のお気に入りの徹底的に考えるゲームです ??,"???????????? ?? ??? ???, ?? ???? ??????? ?????????? ??????? ??? ?? ??",??????? ??? ?? ???? ??????? ?????? ??????? ??? ??,"En tant que retraité, c'est mon jeu de réflexion préféré ??","Como retiro, este es mi juego de pensamiento favorito ??",На пенсии это моя любимая игра на мышление ??
132,notice_title3,It's time to exercise the brain! ?,是时候锻炼大脑了！?,頭の体操の時間です！ ?,?? ????? ?? ??????? ???? ?? ??? ??! ?,??? ????? ?????? ??????! ?,Il est temps d'exercer le cerveau?! ?,?Es hora de ejercitar el cerebro! ?,Пришло время тренировать мозг! ?
133,notice_content3,"The more you play, the healthier the brain??",玩得越多，大脑就越健康??,遊べば遊ぶほど脳は健康になります??,"????? ???? ?? ???????, ???????? ???? ?? ?????? ????",???? ???? ????? ???? ????? ???? ???,"Plus vous jouez, plus le cerveau est en bonne santé??","Cuanto más juegas, más sano es el cerebro??","Чем больше играешь, тем здоровее мозг??"
134,notice_title4,Relax and restore vitality,放松并恢复活力,リラックスして活力を回復,???? ???? ?? ???? ????? ???? ????,????????? ???????? ???????,Se détendre et retrouver sa vitalité,Relajarse y recuperar la vitalidad.,Расслабьтесь и восстановите жизненные силы
135,notice_content4,"Looking for comfort in a soothing card game, and at the same time establish a contact with like-minded elderly people??",在舒缓的纸牌游戏中寻找安慰，同时与志同道合的老年人建立联系??,心安らぐカードゲームで癒しを求め、同時に同じ志を持つ高齢者とのつながりを築きましょう??,"??????? ????? ??? ??? ???? ?? ???? ????, ?? ??? ?? ???? ????????? ???? ??????? ????? ?? ??? ?????? ??????? ??????",???? ?? ?????? ?? ???? ??? ?????? ??? ??? ????? ?? ???????? ?? ???? ???? ??? ??????? ???????,"Vous recherchez du réconfort dans un jeu de cartes apaisant, tout en établissant un contact avec des personnes agées partageant les mêmes idées??","Buscar consuelo en un relajante juego de cartas y, al mismo tiempo, establecer contacto con personas mayores de ideas afines??","Ищите утешение в успокаивающей карточной игре, а заодно налаживайте контакт с единомышленниками пожилого возраста??"
136,notice_title5,How can we always keep elegance and wisdom at all times,怎样才能时刻保持优雅和睿智,どうすれば常に優雅さと知恵を保つことができますか,?? ?? ??? ??????? ?? ??????????? ???? ???? ?? ???? ????,??? ?????? ?? ????? ?????? ??? ??????? ??????? ?? ???? ????????,Comment pouvons-nous toujours garder l'élégance et la sagesse à tout moment,?Cómo podemos mantener siempre la elegancia y la sabiduría en todo momento?,Как нам всегда сохранять элегантность и мудрость во все времена?
137,notice_content5,Play a classic SOLITAIRE,玩一局经典接龙吧,古典的なソリティアをプレイする,?? ??????? ???????? ?????,???? ???? ??????? ??????????,Jouez à un SOLITAIRE classique,Juega un SOLITARIO clásico,Сыграйте в классический ПАСЬЯНС
138,notice_title6,Good morning! Dennis is here ??,早安！丹尼斯在这里??,おはよう！ デニスが来ました??,??? ??????! ????? ???? ?? ??,???? ?????! ????? ??? ??,Bonjour! Denis est là ??,?Buen día! Dennis está aquí ??,Доброе утро! Денис здесь ??
139,notice_content6,Are you ready for daily challenge?,准备迎接今天的每日挑战了吗？,毎日の挑戦に取り組む準備はできていますか?,???? ?? ????? ?????? ?? ??? ????? ????,?? ??? ????? ?????? ???????,êtes-vous prêt à relever un défi quotidien??,?Estás listo para el desafío diario?,Готовы ли вы к ежедневным испытаниям?
140,notice_title7,Good morning! Dennis is here ??,早安！丹尼斯在这里??,おはよう！ デニスが来ました??,??? ??????! ????? ???? ?? ??,???? ?????! ????? ??? ??,Bonjour! Denis est là ??,?Buen día! Dennis está aquí ??,Доброе утро! Денис здесь ??
141,notice_content7,A great day starts with an avocado sandwich! Maybe a Solitaire game?,美好的一天从牛油果三明治开始！也许还有一局接龙？,素敵な一日はアボカドサンドイッチから始まります！ もしかしてソリティアゲーム？,?? ??????? ??? ?? ?????? ??????? ??????? ?? ???? ??! ???? ?? ???????? ????,??? ???? ???? ????????? ?????????! ???? ???? ????????,Une belle journée commence par un sandwich à l'avocat?! Peut-être un jeu de Solitaire ?,?Un gran día comienza con un sándwich de aguacate! ?Quizás un juego de solitario?,"Отличный день начинается с бутерброда с авокадо! Может быть, пасьянс?"
142,notice_title8,Good morning! Dennis is here ??,早安！丹尼斯在这里??,おはよう！ デニスが来ました??,??? ??????! ????? ???? ?? ??,???? ?????! ????? ??? ??,Bonjour! Denis est là ??,?Buen día! Dennis está aquí ??,Доброе утро! Денис здесь ??
143,notice_content8,I hope you have a great day! Don't forget about our daily Solitaire challenge~,我希望你有一个美好的一天，别忘记我们的接龙挑战哦,良い一日をお過ごし下さい！ 毎日のソリティア チャレンジを忘れないでください~,??? ?? ???? ??? ?????? ???! ????? ????? ???????? ?????? ?? ???? ??? ?? ?????~,??? ?? ???? ???? ??? ????! ?? ???? ???? ????????? ?????? ~,J'espère que tu as passé une bonne journée! N'oubliez pas notre défi Solitaire quotidien ~,?Espero que tengas un buen día! No te olvides de nuestro desafío diario de Solitario ~,Надеюсь у тебя хороший день! Не забывайте о нашем ежедневном испытании ?Пасьянс?~
144,notice_title9,Yoink~,呦吼,よーいんく?,?????~,?????~,Yoink~,Yoink ~,Йонк~
145,notice_content9,"I got a card for you, play a classic Solitaire to collect it!",我给你准备了一张小卡，来玩一局接龙吧,カードを用意しました。古典的なソリティアをプレイしてカードを集めてください!,"???? ???? ??? ?? ????? ???? ??, ??? ?????? ???? ?? ??? ??????? ???????? ?????!",??? ???? ??? ????? ??? ???? ???? ??????? ???????? ??????!,"J'ai une carte pour vous, jouez à un Solitaire classique pour la récupérer?!","Tengo una carta para ti, ?juega un solitario clásico para recogerla!","У меня есть для вас карта, разыграйте классический пасьянс, чтобы собрать ее!"
146,notice_title10,Psst~,喂喂,くっそ～,????????~,???? ~,Psst~,Psst~,Тсс~
